Model,RMSE,MAE,R2
SARIMAX,19.174274326494828,12.265548442955893,0.6265487359265409
Random Forest,19.479291410705574,12.520301827213801,0.6145727910309742
LSTM,18.954210794205654,11.960166575974311,0.635071759527996
